Bogogno comune,Bogogno comune.1
,
Bogogno – VedutaVeduta,Bogogno – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Pietro Sacco (lista civica Bogogno futura) dal 22-9-2020
Territorio,Territorio
Coordinate,45°40′N 8°32′E
Altitudine,278 m s.l.m.
Superficie,"8,51 km²"
Abitanti,1 316[1] (30-11-2025)
Densità,"154,64 ab./km²"
Frazioni,"Arbora, Montecchio"
Comuni confinanti,"Agrate Conturbia, Borgomanero, Cressa, Gattico-Veruno, Suno"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003021
Cod. catastale,A929
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 666 GG[3]"
Nome abitanti,bogognesi
Patrono,"Sant'Agnese, San Rocco"
Cartografia,Cartografia
Bogogno,Bogogno
Bogogno – MappaPosizione di Bogogno nel territorio della provincia di Novara,Bogogno – MappaPosizione di Bogogno nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
