Barengo comune,Barengo comune.1
,
Barengo – VedutaPanorama,Barengo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Fabio Maggeni (lista civica Barengo per voi) dall'8-6-2009 (4º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°34′33.49″N 8°30′50.51″E
Altitudine,225 m s.l.m.
Superficie,"19,49 km²"
Abitanti,733[2] (30-11-2025)
Densità,"37,61 ab./km²"
Frazioni,Nessuna
Comuni confinanti,"Briona, Cavaglietto, Cavaglio d'Agogna, Fara Novarese, Momo, Vaprio d'Agogna"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003012
Cod. catastale,A653
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 597 GG[4]"
Nome abitanti,barenghesi
Cartografia,Cartografia
Barengo,Barengo
Barengo – MappaPosizione di Barengo nel territorio della provincia di Novara,Barengo – MappaPosizione di Barengo nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
