Carpignano Sesia comune,Carpignano Sesia comune.1
,
Carpignano Sesia – VedutaLa piazza del paese con il municipio,Carpignano Sesia – VedutaLa piazza del paese con il municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Christian Massara (lista civica Carpignano insieme) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°32′N 8°26′E
Altitudine,204 m s.l.m.
Superficie,"14,66 km²"
Abitanti,2 448[2] (30-11-2025)
Densità,"166,98 ab./km²"
Comuni confinanti,"Briona, Fara Novarese, Ghemme, Ghislarengo (VC), Lenta (VC), Sillavengo, Sizzano"
Altre informazioni,Altre informazioni
Cod. postale,28064
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003036
Cod. catastale,B823
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 570 GG[4]"
Nome abitanti,carpignanesi
Cartografia,Cartografia
Carpignano Sesia,Carpignano Sesia
Carpignano Sesia – MappaPosizione di Carpignano Sesia nel territorio della provincia di Novara,Carpignano Sesia – MappaPosizione di Carpignano Sesia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
