Varallo Pombia comune,Varallo Pombia comune.1
,
Varallo Pombia – Veduta,Varallo Pombia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Joshua Carlomagno (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°40′N 8°38′E
Altitudine,300 m s.l.m.
Superficie,"13,61 km²"
Abitanti,5 018[1] (30-11-2025)
Densità,"368,7 ab./km²"
Frazioni,Cascinetta[2]
Comuni confinanti,"Borgo Ticino, Castelletto sopra Ticino, Divignano, Pombia, Somma Lombardo (VA)"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003154
Cod. catastale,L670
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 694 GG[4]"
Nome abitanti,Varalpombiesi
Patrono,santi Vincenzo e Anastasio
Giorno festivo,1º martedì dopo Pasqua
Cartografia,Cartografia
Varallo Pombia,Varallo Pombia
Varallo Pombia – MappaPosizione di Varallo Pombia nel territorio della provincia di Novara,Varallo Pombia – MappaPosizione di Varallo Pombia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
