Prato Sesia comune,Prato Sesia comune.1
,
Prato Sesia – VedutaPanorama invernale,Prato Sesia – VedutaPanorama invernale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Tiana Nicoloso (lista civica VIVIamo Prato Sesia) dal 09-06-2024
Territorio,Territorio
Coordinate,45°39′N 8°23′E
Altitudine,275 m s.l.m.
Superficie,"12,13 km²"
Abitanti,1 820[1] (30-11-2025)
Densità,"150,04 ab./km²"
Frazioni,"Baragiotta, Ca' Bianca, Ca' di Spagna"
Comuni confinanti,"Boca, Cavallirio, Grignasco, Romagnano Sesia, Serravalle Sesia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28077
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,003122
Cod. catastale,H001
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 518 GG[3]"
Nome abitanti,pratesi
Patrono,san Bernardo
Giorno festivo,15 giugno
Cartografia,Cartografia
Prato Sesia,Prato Sesia
Prato Sesia – MappaPosizione di Prato Sesia nel territorio della provincia di Novara,Prato Sesia – MappaPosizione di Prato Sesia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
