Lesa comune,Lesa comune.1
,
Lesa – VedutaSolcio di Lesa,Lesa – VedutaSolcio di Lesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Angelo Luca Bona (lista civica di centro-destra Lista civica per Lesa) dal 4-10-2021
Territorio,Territorio
Coordinate,45°50′N 8°34′E
Altitudine,198 m s.l.m.
Superficie,"13,58 km²"
Abitanti,2 197[1] (30-11-2025)
Densità,"161,78 ab./km²"
Frazioni,"Calogna, Comnago, Solcio, Villa Lesa"
Comuni confinanti,"Belgirate (VB), Brovello-Carpugnino (VB), Ispra (VA), Massino Visconti, Meina, Nebbiuno, Ranco (VA), Stresa (VB)"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003084
Cod. catastale,E544
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 562 GG[3]"
Nome abitanti,lesiani
Patrono,"san Martino (patrono), compatroni san Giovanni Battista, sant'Antonio di Padova, san Giulio, san Bartolomeo"
Giorno festivo,11 novembre
Cartografia,Cartografia
Lesa,Lesa
Lesa – MappaPosizione di Lesa nel territorio della provincia di Novara,Lesa – MappaPosizione di Lesa nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
