San Nazzaro Sesia comune,San Nazzaro Sesia comune.1
,
San Nazzaro Sesia – Veduta,San Nazzaro Sesia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Dario Delbò (Lista Civica Badia Innovazione e Tradizione) dal 04-10-2021
Territorio,Territorio
Coordinate,45°26′N 8°25′E
Altitudine,153 m s.l.m.
Superficie,"11,45 km²"
Abitanti,704[1] (30-11-2025)
Densità,"61,48 ab./km²"
Comuni confinanti,"Albano Vercellese (VC), Biandrate, Casalbeltrame, Casalvolone, Greggio (VC), Oldenico (VC), Recetto, Villata (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003134
Cod. catastale,I052
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,sannazzaresi
Patrono,santi Nazario e Celso
Giorno festivo,28 luglio
Cartografia,Cartografia
San Nazzaro Sesia,San Nazzaro Sesia
San Nazzaro Sesia – MappaPosizione di San Nazzaro Sesia nel territorio della provincia di Novara,San Nazzaro Sesia – MappaPosizione di San Nazzaro Sesia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
