Cerano comune,Cerano comune.1
,
Cerano – Veduta,Cerano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Mauro Cesti (lista civica Noi per Cerano) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°24′N 8°47′E
Altitudine,127 m s.l.m.
Superficie,"32,64 km²"
Abitanti,6 995[2] (30-11-2025)
Densità,"214,31 ab./km²"
Frazioni,Cascina Camerona
Comuni confinanti,"Abbiategrasso (MI), Boffalora sopra Ticino (MI), Cassolnovo (PV), Magenta (MI), Robecco sul Naviglio (MI), Sozzago, Trecate"
Altre informazioni,Altre informazioni
Cod. postale,28065
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003049
Cod. catastale,C483
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 422 GG[4]"
Nome abitanti,ceranesi (popolare: tistòn[5])
Patrono,Beato Pacifico Ramati
Giorno festivo,prima domenica di settembre
Cartografia,Cartografia
Cerano,Cerano
Cerano – MappaPosizione di Cerano nel territorio della provincia di Novara,Cerano – MappaPosizione di Cerano nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
