Divignano comune,Divignano comune.1
,
Divignano – VedutaCastello di Divignano,Divignano – VedutaCastello di Divignano
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Luciano Carlana (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°40′N 8°36′E
Altitudine,337 m s.l.m.
Superficie,"5,1 km²"
Abitanti,1 435[1] (30-11-2025)
Densità,"281,37 ab./km²"
Comuni confinanti,"Agrate Conturbia, Borgo Ticino, Marano Ticino, Mezzomerico, Pombia, Varallo Pombia"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003060
Cod. catastale,D309
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 743 GG[3]"
Nome abitanti,divignanesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Divignano,Divignano
Divignano – MappaPosizione di Divignano nel territorio della provincia di Novara,Divignano – MappaPosizione di Divignano nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
