Pogno comune,Pogno comune.1
,
Pogno – VedutaLa centrale piazza Alpini d'Italia,Pogno – VedutaLa centrale piazza Alpini d'Italia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Maria Eliana Paracchini (lista civica Pogno unita) dal 26-5-2014 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°45′34″N 8°23′00″E
Altitudine,420 m s.l.m.
Superficie,"9,87 km²"
Abitanti,1 364[2] (30-11-2025)
Densità,"138,2 ab./km²"
Comuni confinanti,"Gozzano, Madonna del Sasso (VB), San Maurizio d'Opaglio, Soriso, Valduggia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28076
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003120
Cod. catastale,G775
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 869 GG[4]"
Nome abitanti,pognesi
Patrono,SS. Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Pogno,Pogno
Pogno – MappaPosizione di Pogno nel territorio della provincia di Novara,Pogno – MappaPosizione di Pogno nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
