Vicolungo comune,Vicolungo comune.1
,
Vicolungo – VedutaVeduta,Vicolungo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Giuseppe Salvo (lista civica Vicolungo in crescita) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°29′N 8°28′E
Altitudine,170 m s.l.m.
Superficie,"13,29 km²"
Abitanti,848[2] (30-11-2025)
Densità,"63,81 ab./km²"
Frazioni,Gargarengo
Comuni confinanti,"Arborio (VC), Biandrate, Casaleggio Novara, Landiona, Mandello Vitta, Recetto, San Pietro Mosezzo"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003159
Cod. catastale,L847
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 478 GG[4]"
Nome abitanti,vicolunghesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Vicolungo,Vicolungo
Vicolungo – MappaPosizione di Vicolungo nel territorio della provincia di Novara,Vicolungo – MappaPosizione di Vicolungo nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
