Briga Novarese comune,Briga Novarese comune.1
,
Briga Novarese – VedutaVeduta,Briga Novarese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Chiara Barbieri (lista civica Briga si rinnova) dal 26-5-2014 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°44′N 8°27′E
Altitudine,345 m s.l.m.
Superficie,"4,75 km²"
Abitanti,2 728[2] (30-11-2025)
Densità,"574,32 ab./km²"
Frazioni,Nessuna
Comuni confinanti,"Borgomanero, Gozzano, Invorio"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003026
Cod. catastale,B176
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 753 GG[4]"
Nome abitanti,brighesi
Patrono,San Giovanni Battista
Cartografia,Cartografia
Briga Novarese,Briga Novarese
Briga Novarese – MappaPosizione di Briga Novarese nel territorio della provincia di Novara,Briga Novarese – MappaPosizione di Briga Novarese nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
