Marano Ticino comune,Marano Ticino comune.1
,
Marano Ticino – Veduta,Marano Ticino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Franco Merli (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°38′N 8°38′E
Altitudine,258 m s.l.m.
Superficie,"7,79 km²"
Abitanti,1 624[1] (30-11-2025)
Densità,"208,47 ab./km²"
Comuni confinanti,"Divignano, Mezzomerico, Oleggio, Pombia, Vizzola Ticino (VA)"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003091
Cod. catastale,E907
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 745 GG[3]"
Nome abitanti,maranesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Marano Ticino,Marano Ticino
Marano Ticino – MappaPosizione di Marano Ticino nel territorio della provincia di Novara,Marano Ticino – MappaPosizione di Marano Ticino nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
