Nebbiuno comune,Nebbiuno comune.1
,
Nebbiuno – VedutaLa chiesa parrocchiale,Nebbiuno – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Fabrizio Favino (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°48′N 8°32′E
Altitudine,430 m s.l.m.
Superficie,"8,27 km²"
Abitanti,1 855[1] (30-11-2025)
Densità,"224,3 ab./km²"
Frazioni,"Corciago, Fosseno, Tapigliano, Campiglia"
Comuni confinanti,"Armeno, Lesa, Massino Visconti, Meina, Pisano"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003103
Cod. catastale,F859
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 831 GG[3]"
Nome abitanti,nebbiunesi
Patrono,san Giorgio
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Nebbiuno,Nebbiuno
Nebbiuno – MappaPosizione di Nebbiuno nel territorio della provincia di Novara,Nebbiuno – MappaPosizione di Nebbiuno nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
