Caltignaga comune,Caltignaga comune.1
,
Caltignaga – VedutaIl castello di Caltignaga,Caltignaga – VedutaIl castello di Caltignaga
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Pietro Antonio Miglio (lista civica Bene comune) dal 27-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°31′N 8°35′E
Altitudine,179 m s.l.m.
Superficie,"22,32 km²"
Abitanti,2 450[2] (30-11-2025)
Densità,"109,77 ab./km²"
Frazioni,"Morghengo, Sologno"
Comuni confinanti,"Bellinzago Novarese, Briona, Cameri, Momo, Novara, San Pietro Mosezzo"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003030
Cod. catastale,B431
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 688 GG[4]"
Nome abitanti,"caltignaghesi, brusaràt in dialetto"
Patrono,san Bovo
Giorno festivo,26 maggio
Cartografia,Cartografia
Caltignaga,Caltignaga
Caltignaga – MappaPosizione di Caltignaga nel territorio della provincia di Novara,Caltignaga – MappaPosizione di Caltignaga nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
