Romagnano Sesia comune,Romagnano Sesia comune.1
,
Romagnano Sesia – VedutaVeduta da Villa Caccia,Romagnano Sesia – VedutaVeduta da Villa Caccia
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Alessandro Carini (lista civica ValorizziAmo Romagnano) dal 27-5-2019
Territorio,Territorio
Coordinate,45°38′N 8°23′E
Altitudine,268 m s.l.m.
Superficie,"17,98 km²"
Abitanti,3 755[1] (30-11-2025)
Densità,"208,84 ab./km²"
Frazioni,Mauletta
Comuni confinanti,"Cavallirio, Fontaneto d'Agogna, Gattinara (VC), Ghemme, Prato Sesia, Serravalle Sesia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28078
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,003130
Cod. catastale,H502
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 509 GG[3]"
Nome abitanti,romagnanesi
Patrono,san Silvano
Giorno festivo,10 luglio
Cartografia,Cartografia
Romagnano Sesia,Romagnano Sesia
Romagnano Sesia – MappaPosizione di Romagnano Sesia nel territorio della provincia di Novara,Romagnano Sesia – MappaPosizione di Romagnano Sesia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
