Agrate Conturbia comune,Agrate Conturbia comune.1
,
Agrate Conturbia – VedutaVeduta,Agrate Conturbia – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Simone Tosi (lista civica Il Campanile) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°40′35″N 8°33′08″E
Altitudine,337 m s.l.m.
Superficie,"14,54 km²"
Abitanti,1 585[1] (30-11-2025)
Densità,"109,01 ab./km²"
Frazioni,"Agrate, Conturbia"
Comuni confinanti,"Bogogno, Borgo Ticino, Divignano, Gattico-Veruno, Mezzomerico, Suno"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003001
Cod. catastale,A088
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 743 GG[3]"
Nome abitanti,"agratesi, conturbiesi"
Patrono,san Vittore
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Agrate Conturbia,Agrate Conturbia
Agrate Conturbia – MappaPosizione di Agrate Conturbia nel territorio della provincia di Novara,Agrate Conturbia – MappaPosizione di Agrate Conturbia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
