Pettenasco comune,Pettenasco comune.1
,
Pettenasco – Veduta,Pettenasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Mauro Romagnoli (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°49′51.23″N 8°24′22.68″E
Altitudine,300 m s.l.m.
Superficie,"7,07 km²"
Abitanti,1 301[1] (30-11-2025)
Densità,"184,02 ab./km²"
Frazioni,"Crabbia, Pratolungo"
Comuni confinanti,"Armeno, Miasino, Nonio (VB), Omegna (VB), Orta San Giulio, Pella"
Altre informazioni,Altre informazioni
Cod. postale,28028
Prefisso,0323
Fuso orario,UTC+1
Codice ISTAT,003116
Cod. catastale,G520
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,pettenaschesi
Patrono,santi Caterina d'Alessandria[non chiaro] e Audenzio
Giorno festivo,25 novembre e secondo lunedì di settembre
Cartografia,Cartografia
Pettenasco,Pettenasco
Pettenasco – MappaPosizione di Pettenasco nel territorio della provincia di Novara,Pettenasco – MappaPosizione di Pettenasco nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
