Nibbiola comune,Nibbiola comune.1
,
Nibbiola – Veduta,Nibbiola – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Pierfrancesco Agnesina (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°22′N 8°40′E
Altitudine,133 m s.l.m.
Superficie,"11,34 km²"
Abitanti,832[1] (30-11-2025)
Densità,"73,37 ab./km²"
Comuni confinanti,"Garbagna Novarese, Granozzo con Monticello, Novara, Terdobbiate, Vespolate"
Altre informazioni,Altre informazioni
Cod. postale,28070
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003104
Cod. catastale,F886
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 430 GG[3]"
Nome abitanti,nibbiolesi (popolare: saca nebia[4])
Patrono,santa Caterina
Giorno festivo,25 novembre
Cartografia,Cartografia
Nibbiola,Nibbiola
Nibbiola – MappaPosizione di Nibbiola nel territorio della provincia di Novara,Nibbiola – MappaPosizione di Nibbiola nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
