Casalino comune,Casalino comune.1
,
Casalino – VedutaChiesa parrocchiale di Casalino,Casalino – VedutaChiesa parrocchiale di Casalino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Sergio Ferrari (lista civica Comunità vive) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°21′30.1″N 8°31′26.17″E
Altitudine,131 m s.l.m.
Superficie,"39,49 km²"
Abitanti,1 579[2] (30-11-2025)
Densità,"39,98 ab./km²"
Frazioni,"Cameriano, Orfengo, Ponzana"
Comuni confinanti,"Biandrate, Borgo Vercelli (VC), Casalbeltrame, Casalvolone, Confienza (PV), Granozzo con Monticello, Novara, San Pietro Mosezzo, Vinzaglio"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003040
Cod. catastale,B897
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 590 GG[4]"
Nome abitanti,casalinesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Casalino,Casalino
Casalino – MappaPosizione di Casalino nel territorio della provincia di Novara,Casalino – MappaPosizione di Casalino nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
