Cavaglio d'Agogna comune,Cavaglio d'Agogna comune.1
,
Cavaglio d'Agogna – VedutaChiesa della Madonna della Neve,Cavaglio d'Agogna – VedutaChiesa della Madonna della Neve
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Enrica Tacca (lista civica) dal 12-06-2022
Territorio,Territorio
Coordinate,45°37′N 8°29′E
Altitudine,243 m s.l.m.
Superficie,"9,83 km²"
Abitanti,1 145[1] (30-11-2025)
Densità,"116,48 ab./km²"
Frazioni,Cascina Rochetto
Comuni confinanti,"Barengo, Cavaglietto, Fara Novarese, Fontaneto d'Agogna, Ghemme, Sizzano"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003045
Cod. catastale,C365
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 476 GG[3]"
Nome abitanti,cavagliesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Cavaglio d'Agogna,Cavaglio d'Agogna
Cavaglio d'Agogna – MappaPosizione di Cavaglio d'Agogna nel territorio della provincia di Novara,Cavaglio d'Agogna – MappaPosizione di Cavaglio d'Agogna nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
