Grignasco comune,Grignasco comune.1
,
Grignasco – Veduta,Grignasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Roberto Beatrice (lista civica) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°41′N 8°20′E
Altitudine,322 m s.l.m.
Superficie,"14,33 km²"
Abitanti,4 295[2] (30-11-2025)
Densità,"299,72 ab./km²"
Frazioni,"Ara, Bertolotto, Cà Marietta, Carola, Casa Negri, Garodino, Isella, Mollia D'Arrigo, Pianaccia, Sagliaschi, San Rocco, Sella, Torchio, Bovagliano"
Comuni confinanti,"Boca, Borgosesia (VC), Prato Sesia, Serravalle Sesia (VC), Valduggia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28075
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,003079
Cod. catastale,E177
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 579 GG[4]"
Nome abitanti,grignaschesi
Patrono,S. Maria Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Grignasco,Grignasco
Grignasco – MappaPosizione di Grignasco nel territorio della provincia di Novara,Grignasco – MappaPosizione di Grignasco nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
