Gargallo comune,Gargallo comune.1
,
Gargallo – VedutaLa parrocchiale di San Pietro,Gargallo – VedutaLa parrocchiale di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Domenico Tassone (lista civica Uniti rinnoviamo Gargallo) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°43′39.26″N 8°24′33.09″E
Altitudine,397 m s.l.m.
Superficie,"3,75 km²"
Abitanti,1 744[2] (30-11-2025)
Densità,"465,07 ab./km²"
Frazioni,Selma
Comuni confinanti,"Borgomanero, Gozzano, Maggiora, Soriso"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003070
Cod. catastale,D921
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 824 GG[4]"
Nome abitanti,gargallesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Gargallo,Gargallo
Gargallo – MappaPosizione di Gargallo nel territorio della provincia di Novara,Gargallo – MappaPosizione di Gargallo nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
