Vespolate comune,Vespolate comune.1
,
Vespolate – VedutaPanorama,Vespolate – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Silvia Caccia Colombo (lista civica Insieme per Vespolate) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°21′N 8°40′E
Altitudine,123 m s.l.m.
Superficie,"17,78 km²"
Abitanti,2 074[2] (30-11-2025)
Densità,"116,65 ab./km²"
Comuni confinanti,"Borgolavezzaro, Confienza (PV), Granozzo con Monticello, Nibbiola, Robbio (PV), Terdobbiate, Tornaco"
Altre informazioni,Altre informazioni
Cod. postale,28079
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003158
Cod. catastale,L808
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 464 GG[4]"
Nome abitanti,vespolini o vespolatesi (popolare: panscia rusa[5])
Patrono,san Giovanni Battista e sant'Antonio Abate
Cartografia,Cartografia
Vespolate,Vespolate
Vespolate – MappaPosizione di Vespolate nel territorio della provincia di Novara,Vespolate – MappaPosizione di Vespolate nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
