Cavallirio comune,Cavallirio comune.1
,
Cavallirio – VedutaPiazza Martiri della Libertà (Rondò) e via Martiri (Elmo ed Italo) Scolari,Cavallirio – VedutaPiazza Martiri della Libertà (Rondò) e via Martiri (Elmo ed Italo) Scolari
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Vito D'Aguanno (lista civica Tracciamo un nuovo percorso) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°39′44″N 8°23′44″E
Altitudine,367 m s.l.m.
Superficie,"8,33 km²"
Abitanti,1 295[1] (30-11-2025)
Densità,"155,46 ab./km²"
Frazioni,"San Germano, Stoccada"
Comuni confinanti,"Boca, Cureggio, Fontaneto d'Agogna, Prato Sesia, Romagnano Sesia"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,003047
Cod. catastale,C378
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 782 GG[3]"
Nome abitanti,cavalliresi
Patrono,san Gaudenzio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Cavallirio,Cavallirio
Cavallirio – MappaPosizione di Cavallirio nel territorio della provincia di Novara,Cavallirio – MappaPosizione di Cavallirio nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
