Granozzo con Monticello comune,Granozzo con Monticello comune.1
,
Granozzo con Monticello – VedutaPanorama di Monticello,Granozzo con Monticello – VedutaPanorama di Monticello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Paolo Paglino (Rinnovamento e partecipazione) dal 5-6-2016
Territorio,Territorio
Coordinate,45°22′N 8°34′E
Altitudine,129 m s.l.m.
Superficie,"19,52 km²"
Abitanti,1 305[1] (30-11-2025)
Densità,"66,85 ab./km²"
Frazioni,"Cascina Calcinara, Case Sparse, Granozzo, Monticello"
Comuni confinanti,"Casalino, Confienza (PV), Nibbiola, Novara, Vespolate"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003077
Cod. catastale,E143
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 472 GG[3]"
Nome abitanti,"granozzesi (popolare: mangiacagna per Granozzo, pescalüna per Monticello[4])"
Patrono,Santa Maria Assunta (Granozzo) e santi Gervaso e Protaso (Monticello)
Giorno festivo,15 agosto e 19 giugno
Cartografia,Cartografia
Granozzo con Monticello,Granozzo con Monticello
Granozzo con Monticello – MappaPosizione di Granozzo con Monticello nel territorio della provincia di Novara,Granozzo con Monticello – MappaPosizione di Granozzo con Monticello nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
