Fontaneto d'Agogna comune,Fontaneto d'Agogna comune.1
,
Fontaneto d'Agogna – VedutaLa chiesa parrocchiale e lo scurolo di Sant'Alessandro,Fontaneto d'Agogna – VedutaLa chiesa parrocchiale e lo scurolo di Sant'Alessandro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,"Claudio Teruggi (Comunità, Territorio, Sostenibilità) dal 10-06-2024"
Territorio,Territorio
Coordinate,45°39′N 8°29′E
Altitudine,260 m s.l.m.
Superficie,"21,17 km²"
Abitanti,2 647[1] (30-11-2025)
Densità,"125,04 ab./km²"
Frazioni,"Balchi, Baraggione, Cacciana, Camuccioni, Cascinetto, Case Nuove, Gerbidi, Molino Marco, San Martino, Santa Croce, Sant'Ambrogio, Sant'Antonio, Tapulino, Tuvina, Vella Ciavone"
Comuni confinanti,"Borgomanero, Cavaglietto, Cavaglio d'Agogna, Cavallirio, Cressa, Cureggio, Ghemme, Romagnano Sesia, Suno"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003066
Cod. catastale,D675
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 498 GG[3]"
Nome abitanti,fontanetesi
Patrono,sant'Alessandro
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Fontaneto d'Agogna,Fontaneto d'Agogna
Fontaneto d'Agogna – MappaPosizione di Fontaneto d'Agogna nel territorio della provincia di Novara,Fontaneto d'Agogna – MappaPosizione di Fontaneto d'Agogna nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
