Sozzago comune,Sozzago comune.1
,
Sozzago – VedutaParrocchiale di San Silvano,Sozzago – VedutaParrocchiale di San Silvano
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Agostino Antonini (lista civica Noi per Sozzago) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°24′N 8°43′E
Altitudine,129 m s.l.m.
Superficie,"12,92 km²"
Abitanti,1 104[2] (30-11-2025)
Densità,"85,45 ab./km²"
Frazioni,"Cascina Mietta, Cascina Milortina e Milorta"
Comuni confinanti,"Cassolnovo (PV), Cerano, Garbagna Novarese, Terdobbiate, Trecate"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003141
Cod. catastale,I880
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 472 GG[4]"
Nome abitanti,sozzaghesi (popolare: mangia 'na rana e mesa[5])
Patrono,san Silvano
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Sozzago,Sozzago
Sozzago – MappaPosizione di Sozzago nel territorio della provincia di Novara,Sozzago – MappaPosizione di Sozzago nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
