Casaleggio Novara comune,Casaleggio Novara comune.1
,
"Casaleggio Novara – VedutaLa chiesa diroccata di Sant'Antonio, fuori dall'abitato","Casaleggio Novara – VedutaLa chiesa diroccata di Sant'Antonio, fuori dall'abitato"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Isabella Demarchi (lista civica Tradizione e futuro) dal 4-10-2021
Territorio,Territorio
Coordinate,45°29′N 8°30′E
Altitudine,170 m s.l.m.
Superficie,"10,53 km²"
Abitanti,919[1] (30-11-2025)
Densità,"87,27 ab./km²"
Comuni confinanti,"Briona, Castellazzo Novarese, Mandello Vitta, San Pietro Mosezzo, Vicolungo"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003039
Cod. catastale,B883
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 478 GG[3]"
Nome abitanti,casaleggesi
Patrono,santi Giacomo ed Anna
Giorno festivo,25 luglio
Cartografia,Cartografia
Casaleggio Novara,Casaleggio Novara
Casaleggio Novara – MappaPosizione di Casaleggio Novara nel territorio della provincia di Novara,Casaleggio Novara – MappaPosizione di Casaleggio Novara nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
