Boca comune,Boca comune.1
,
Boca – VedutaScorcio dell'abitato,Boca – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Andrea Cerri (lista civica : Per una Boca migliore) dal 15-5-2023
Territorio,Territorio
Coordinate,45°41′N 8°25′E
Altitudine,389 m s.l.m.
Superficie,"9,61 km²"
Abitanti,1 144[1] (30-11-2025)
Densità,"119,04 ab./km²"
Frazioni,"Baraggia, Montalbano, Pianorosa, Ronchetto, Santuario"
Comuni confinanti,"Cavallirio, Cureggio, Grignasco, Maggiora, Prato Sesia, Valduggia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003019
Cod. catastale,A911
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 810 GG[3]"
Nome abitanti,bochesi
Patrono,san Gaudenzio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Boca,Boca
Boca – MappaPosizione di Boca nel territorio della provincia di Novara,Boca – MappaPosizione di Boca nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
