Paruzzaro comune,Paruzzaro comune.1
,
Paruzzaro – VedutaVeduta,Paruzzaro – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Matteo Mora (lista civica Insieme per Paruzzaro) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°44′49.82″N 8°30′34.34″E
Altitudine,334 m s.l.m.
Superficie,"5,23 km²"
Abitanti,2 121[2] (30-11-2025)
Densità,"405,54 ab./km²"
Frazioni,"San Grato, Borgo Agnello, Sant’Eufemia"
Comuni confinanti,"Arona, Gattico-Veruno, Invorio, Oleggio Castello"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003114
Cod. catastale,G349
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 739 GG[4]"
Nome abitanti,paruzzaresi
Patrono,san Siro
Giorno festivo,9 dicembre
Cartografia,Cartografia
Paruzzaro,Paruzzaro
Paruzzaro – MappaPosizione di Paruzzaro nel territorio della provincia di Novara,Paruzzaro – MappaPosizione di Paruzzaro nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
