Bolzano Novarese comune,Bolzano Novarese comune.1
,
Bolzano Novarese – VedutaLa chiesa parrocchiale,Bolzano Novarese – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,"Ettore Franzosi (Lista Civica ""Bolzano per Tutti"") dal 10-06-2024[1]"
Territorio,Territorio
Coordinate,45°45′53.64″N 8°26′45.6″E
Altitudine,400 m s.l.m.
Superficie,"3,3 km²"
Abitanti,1 109[2] (30-11-2025)
Densità,"336,06 ab./km²"
Comuni confinanti,"Ameno, Gozzano, Invorio, Orta San Giulio"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003022
Cod. catastale,A953
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 821 GG[4]"
Nome abitanti,bolzanesi novaresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bolzano Novarese,Bolzano Novarese
Bolzano Novarese – MappaPosizione di Bolzano Novarese nel territorio della provincia di Novara,Bolzano Novarese – MappaPosizione di Bolzano Novarese nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
