Pella comune,Pella comune.1
,
Pella – VedutaPella vista dal lago,Pella – VedutaPella vista dal lago
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Alessandro Soldà (Lista civica Progetto in comune) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°48′N 8°23′E
Altitudine,305 m s.l.m.
Superficie,"8,13 km²"
Abitanti,874[2] (30-11-2025)
Densità,"107,5 ab./km²"
Frazioni,"Alzo, Monte San Giulio, Ronco, Ventraggia"
Sottodivisioni ulteriori,"Ronco Sopra, Prorio, Roncallo al Lago"
Comuni confinanti,"Cesara (VB), Madonna del Sasso (VB), Nonio (VB), Orta San Giulio (NO), Pettenasco (NO), San Maurizio d'Opaglio (NO), Miasino (NO)"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003115
Cod. catastale,G421
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 701 GG[4]"
Nome abitanti,pellesi
Patrono,"Madonna del Carmine, Albino di Angers"
Giorno festivo,16 luglio / 1 marzo
Cartografia,Cartografia
Pella,Pella
Pella – MappaPosizione di Pella nel territorio della provincia di Novara,Pella – MappaPosizione di Pella nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
