Romentino comune,Romentino comune.1
,
"Romentino – VedutaScorcio di Via Chiodini, la via centrale del paese.","Romentino – VedutaScorcio di Via Chiodini, la via centrale del paese."
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Marco Caccia (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°28′N 8°43′E
Altitudine,146 m s.l.m.
Superficie,"17,69 km²"
Abitanti,5 655[1] (30-11-2025)
Densità,"319,67 ab./km²"
Comuni confinanti,"Bernate Ticino (MI), Galliate, Novara, Trecate"
Altre informazioni,Altre informazioni
Cod. postale,28068
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003131
Cod. catastale,H518
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 646 GG[3]"
Nome abitanti,romentinesi (popolare: curnèti o curnìn[4])
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Romentino,Romentino
Romentino – MappaPosizione di Romentino nel territorio della provincia di Novara,Romentino – MappaPosizione di Romentino nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
