Cameri comune,Cameri comune.1
,
Cameri – VedutaPiazza Dante con la chiesa di San Michele,Cameri – VedutaPiazza Dante con la chiesa di San Michele
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Giuliano Pacileo (centro-sinistra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°30′N 8°39′E
Altitudine,161 m s.l.m.
Superficie,"39,99 km²"
Abitanti,10 892[1] (30-11-2025)
Densità,"272,37 ab./km²"
Frazioni,Nivellina
Comuni confinanti,"Bellinzago Novarese, Caltignaga, Castano Primo (MI), Galliate, Nosate (MI), Novara, Turbigo (MI)"
Altre informazioni,Altre informazioni
Cod. postale,28062
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003032
Cod. catastale,B473
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 666 GG[3]"
Nome abitanti,cameresi (popolare: maulugni[4])
Patrono,san Michele Arcangelo e santa Gregoria
Giorno festivo,secondo lunedì di settembre
Cartografia,Cartografia
Cameri,Cameri
Cameri – MappaPosizione di Cameri nel territorio della provincia di Novara,Cameri – MappaPosizione di Cameri nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
