Cureggio comune,Cureggio comune.1
,
Cureggio – VedutaParrocchiale di Maria Vergine Assunta,Cureggio – VedutaParrocchiale di Maria Vergine Assunta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Angelo Barbaglia (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°40′08.14″N 8°27′25.42″E
Altitudine,289 m s.l.m.
Superficie,"8,51 km²"
Abitanti,2 616[2] (30-11-2025)
Densità,"307,4 ab./km²"
Frazioni,"Cascine Enea, Marzalesco, Piano Rosa"
Comuni confinanti,"Boca, Borgomanero, Cavallirio, Fontaneto d'Agogna, Maggiora"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003058
Cod. catastale,D216
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 536 GG[4]"
Nome abitanti,Cureggesi
Patrono,Madonna Assunta San Rocco
Giorno festivo,15 agosto 16 agosto
Cartografia,Cartografia
Cureggio,Cureggio
Cureggio – MappaPosizione di Cureggio nel territorio della provincia di Novara,Cureggio – MappaPosizione di Cureggio nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
