Suno comune,Suno comune.1
,
Suno – VedutaAbitazioni lungo il torrente Meja,Suno – VedutaAbitazioni lungo il torrente Meja
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Riccardo Giuliani (lista civica Tutti per Suno) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°38′N 8°32′E
Altitudine,251 m s.l.m.
Superficie,"21,33 km²"
Abitanti,2 666[1] (30-11-2025)
Densità,"124,99 ab./km²"
Frazioni,"Baraggia, Mottoscarone, Piana, Pieve"
Comuni confinanti,"Agrate Conturbia, Bogogno, Cavaglietto, Cressa, Fontaneto d'Agogna, Mezzomerico, Vaprio d'Agogna"
Altre informazioni,Altre informazioni
Cod. postale,28019
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003143
Cod. catastale,L007
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 631 GG[3]"
Nome abitanti,sunesi
Patrono,san Genesio[non chiaro]
Giorno festivo,25 agosto
Cartografia,Cartografia
Suno,Suno
Suno – MappaPosizione di Suno nel territorio della provincia di Novara,Suno – MappaPosizione di Suno nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
