Maggiora comune,Maggiora comune.1
,
Maggiora – VedutaPanorama invernale di Maggiora,Maggiora – VedutaPanorama invernale di Maggiora
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Roberto Balzano (lista civica Insieme per Maggiora) dal 27-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°41′N 8°26′E
Altitudine,397 m s.l.m.
Superficie,"10,66 km²"
Abitanti,1 633[2] (30-11-2025)
Densità,"153,19 ab./km²"
Comuni confinanti,"Boca, Borgomanero, Cureggio, Gargallo, Valduggia (VC)"
Altre informazioni,Altre informazioni
Cod. postale,28014
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003088
Cod. catastale,E803
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 676 GG[4]"
Nome abitanti,maggioresi
Patrono,sant'Agapito
Giorno festivo,18 agosto
Cartografia,Cartografia
Maggiora,Maggiora
Maggiora – MappaPosizione di Maggiora nel territorio della provincia di Novara,Maggiora – MappaPosizione di Maggiora nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
