Momo comune,Momo comune.1
,
Momo – VedutaVeduta,Momo – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Michela Leoni (lista civica Idea comune) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°35′N 8°33′E
Altitudine,213 m s.l.m.
Superficie,"23,59 km²"
Abitanti,2 400[2] (30-11-2025)
Densità,"101,74 ab./km²"
Frazioni,"Agnellengo, Alzate, Castelletto"
Comuni confinanti,"Barengo, Bellinzago Novarese, Briona, Caltignaga, Oleggio, Vaprio d'Agogna"
Altre informazioni,Altre informazioni
Cod. postale,28015
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003100
Cod. catastale,F317
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 581 GG[4]"
Nome abitanti,momesi
Patrono,santi Zeno e Tecla
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Momo,Momo
Momo – MappaPosizione di Momo nel territorio della provincia di Novara,Momo – MappaPosizione di Momo nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
