Pisano comune,Pisano comune.1
,
Pisano – Veduta,Pisano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Piergiulio Alesina (Lista civica Coerenza e integrità) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°47′39″N 8°30′46″E
Altitudine,410 m s.l.m.
Superficie,"2,77 km²"
Abitanti,798[2] (30-11-2025)
Densità,"288,09 ab./km²"
Comuni confinanti,"Armeno, Colazza, Meina, Nebbiuno"
Altre informazioni,Altre informazioni
Cod. postale,28010
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003119
Cod. catastale,G703
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 782 GG[4]"
Nome abitanti,pisanesi
Patrono,sant'Eusebio Vescovo
Giorno festivo,2 agosto
Cartografia,Cartografia
Pisano,Pisano
Pisano – MappaPosizione di Pisano nel territorio della provincia di Novara,Pisano – MappaPosizione di Pisano nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
