Comignago comune,Comignago comune.1
,
Comignago – Veduta,Comignago – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Piero Giuseppe David (lista civica) dal 16-5-2011
Territorio,Territorio
Coordinate,45°43′N 8°34′E
Altitudine,268 m s.l.m.
Superficie,"4,45 km²"
Abitanti,1 251[1] (30-11-2025)
Densità,"281,12 ab./km²"
Comuni confinanti,"Arona, Borgo Ticino, Castelletto sopra Ticino, Dormelletto, Gattico-Veruno, Oleggio Castello"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003052
Cod. catastale,C926
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 509 GG[3]"
Nome abitanti,comignaghesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Comignago,Comignago
Comignago – MappaPosizione di Comignago nel territorio della provincia di Novara,Comignago – MappaPosizione di Comignago nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
