Borgomanero comune,Borgomanero comune.1
,
Borgomanero – VedutaVeduta,Borgomanero – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Sergio Bossi (centro-destra) dal 13-6-2017
Territorio,Territorio
Coordinate,45°42′N 8°28′E
Altitudine,308 m s.l.m.
Superficie,"32,27 km²"
Abitanti,21 197[1] (30-11-2025)
Densità,"656,86 ab./km²"
Frazioni,"Santa Cristina, Vergano, San Marco, Santo Stefano, Santa Croce[2], Baraggioni, Canuggioni, Casale Tabuloni."
Comuni confinanti,"Bogogno, Briga Novarese, Cressa, Cureggio, Fontaneto d'Agogna, Gargallo, Gattico-Veruno, Gozzano, Invorio, Maggiora"
Altre informazioni,Altre informazioni
Cod. postale,28021
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003024
Cod. catastale,B019
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 559 GG[4]"
Nome abitanti,borgomaneresi (localmente chiamati anche burbanelli)
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Borgomanero,Borgomanero
Borgomanero – MappaPosizione di Borgomanero nel territorio della provincia di Novara,Borgomanero – MappaPosizione di Borgomanero nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
