Casalbeltrame comune,Casalbeltrame comune.1
,
Casalbeltrame – VedutaVeduta,Casalbeltrame – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Francesco Mura (lista civica Noi insieme) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°26′N 8°28′E
Altitudine,151 m s.l.m.
Superficie,"16,04 km²"
Abitanti,1 052[2] (30-11-2025)
Densità,"65,59 ab./km²"
Frazioni,Fisrengo
Comuni confinanti,"Biandrate, Casalino, Casalvolone, San Nazzaro Sesia"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003037
Cod. catastale,B864
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 616 GG[4]"
Nome abitanti,casalbeltramesi
Patrono,San Novello
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Casalbeltrame,Casalbeltrame
Casalbeltrame – MappaPosizione di Casalbeltrame nel territorio della provincia di Novara,Casalbeltrame – MappaPosizione di Casalbeltrame nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
