Ghemme comune,Ghemme comune.1
,
Ghemme – VedutaScorcio del castello-ricetto di Ghemme (via Interno Castello),Ghemme – VedutaScorcio del castello-ricetto di Ghemme (via Interno Castello)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Mirko Barbavara (lista civica ViviAmo Ghemme) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°36′N 8°25′E
Altitudine,241 m s.l.m.
Superficie,"20,64 km²"
Abitanti,3 443[2] (30-11-2025)
Densità,"166,81 ab./km²"
Frazioni,"Ferrera, Strona"
Comuni confinanti,"Carpignano Sesia, Cavaglio d'Agogna, Fontaneto d'Agogna, Gattinara (VC), Lenta (VC), Romagnano Sesia, Sizzano"
Altre informazioni,Altre informazioni
Cod. postale,28074
Prefisso,0163
Fuso orario,UTC+1
Codice ISTAT,003073
Cod. catastale,E001
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 473 GG[4]"
Nome abitanti,ghemmesi
Patrono,Beata Panacea
Giorno festivo,primo venerdì di maggio
Cartografia,Cartografia
Ghemme,Ghemme
Ghemme – MappaPosizione di Ghemme nel territorio della provincia di Novara,Ghemme – MappaPosizione di Ghemme nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
