Massino Visconti comune,Massino Visconti comune.1
,
Massino Visconti – VedutaIl castello (destra) e l'abitato (sinistra) di Massino,Massino Visconti – VedutaIl castello (destra) e l'abitato (sinistra) di Massino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Vilmo Pescara (lista civica Nel futuro per Massino) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°49′N 8°32′E
Altitudine,465 m s.l.m.
Superficie,"6,86 km²"
Abitanti,1 127[2] (30-11-2025)
Densità,"164,29 ab./km²"
Frazioni,"Monte, San Salvatore"
Comuni confinanti,"Armeno, Brovello-Carpugnino (VB), Lesa, Nebbiuno"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003093
Cod. catastale,F047
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 909 GG[4]"
Nome abitanti,massinesi
Patrono,Purificazione di Maria Vergine
Giorno festivo,2 febbraio
Cartografia,Cartografia
Massino Visconti,Massino Visconti
Massino Visconti – MappaPosizione di Massino Visconti nel territorio della provincia di Novara,Massino Visconti – MappaPosizione di Massino Visconti nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
