Borgo Ticino comune,Borgo Ticino comune.1
,
Borgo Ticino – Veduta,Borgo Ticino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Alessandro Marchese (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,45°41′N 8°36′E
Altitudine,299 m s.l.m.
Superficie,"13,37 km²"
Abitanti,5 156[1] (30-11-2025)
Densità,"385,64 ab./km²"
Frazioni,"Campagnola, Gagnago"
Comuni confinanti,"Agrate Conturbia, Castelletto sopra Ticino, Comignago, Divignano, Gattico-Veruno, Varallo Pombia"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003025
Cod. catastale,B043
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 693 GG[3]"
Nome abitanti,borgoticinesi
Patrono,Maria Vergine Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Borgo Ticino,Borgo Ticino
Borgo Ticino – MappaPosizione di Borgo Ticino nel territorio della provincia di Novara,Borgo Ticino – MappaPosizione di Borgo Ticino nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
