Pombia comune,Pombia comune.1
,
Pombia – VedutaVeduta del paese con la Chiesa di San Vincenzo in Castro,Pombia – VedutaVeduta del paese con la Chiesa di San Vincenzo in Castro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,dott. Nicola Arlunno (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°39′N 8°38′E
Altitudine,286 m s.l.m.
Superficie,"12,3 km²"
Abitanti,2 119[1] (30-11-2025)
Densità,"172,28 ab./km²"
Comuni confinanti,"Divignano, Marano Ticino, Somma Lombardo (VA), Varallo Pombia, Vizzola Ticino (VA)"
Altre informazioni,Altre informazioni
Cod. postale,28050
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003121
Cod. catastale,G809
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 676 GG[3]"
Nome abitanti,pombiesi
Patrono,san Vincenzo
Giorno festivo,22 gennaio
Cartografia,Cartografia
Pombia,Pombia
Pombia – MappaPosizione di Pombia nel territorio della provincia di Novara,Pombia – MappaPosizione di Pombia nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
