Castelletto sopra Ticino comune,Castelletto sopra Ticino comune.1
,
Castelletto sopra Ticino – Veduta,Castelletto sopra Ticino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Massimo Stilo (lista civica Per Castelletto) dal 26-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°43′N 8°38′E
Altitudine,226 m s.l.m.
Superficie,"14,64 km²"
Abitanti,9 836[2] (30-11-2025)
Densità,"671,86 ab./km²"
Frazioni,"Aronco, Asseri, Baraggia, Beati, Brabbia, Centro, Cicognola, Curone, Dorbiè, Glisente, Landa, Pozzola, Valloni, Verbanella"
Comuni confinanti,"Borgo Ticino, Comignago, Dormelletto, Golasecca (VA), Sesto Calende (VA), Somma Lombardo (VA), Varallo Pombia"
Altre informazioni,Altre informazioni
Cod. postale,28053
Prefisso,0331
Fuso orario,UTC+1
Codice ISTAT,003043
Cod. catastale,C166
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 598 GG[4]"
Nome abitanti,Castellettesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Castelletto sopra Ticino,Castelletto sopra Ticino
Castelletto sopra Ticino – MappaPosizione di Castelletto sopra Ticino nel territorio della provincia di Novara,Castelletto sopra Ticino – MappaPosizione di Castelletto sopra Ticino nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
