Borgolavezzaro comune,Borgolavezzaro comune.1
,
Borgolavezzaro – VedutaVeduta,Borgolavezzaro – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Renato Padoan (lista civica) dal 26-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°19′N 8°42′E
Altitudine,118 m s.l.m.
Superficie,"21,09 km²"
Abitanti,2 028[2] (30-11-2025)
Densità,"96,16 ab./km²"
Comuni confinanti,"Albonese (PV), Cilavegna (PV), Nicorvo (PV), Robbio (PV), Tornaco, Vespolate"
Altre informazioni,Altre informazioni
Cod. postale,28071
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003023
Cod. catastale,B016
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 458 GG[4]"
Nome abitanti,borgolavezzaresi (popolare: lucòn[5] o ucon[6])
Patrono,santa Giuliana
Giorno festivo,16 febbraio
Cartografia,Cartografia
Borgolavezzaro,Borgolavezzaro
Borgolavezzaro – MappaPosizione di Borgolavezzaro nel territorio della provincia di Novara,Borgolavezzaro – MappaPosizione di Borgolavezzaro nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
