Castellazzo Novarese comune,Castellazzo Novarese comune.1
,
Castellazzo Novarese – Veduta,Castellazzo Novarese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Giorgio Arata (lista civica Castellazzo nel cuore) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°31′N 8°30′E
Altitudine,182 m s.l.m.
Superficie,"10,79 km²"
Abitanti,335[2] (30-11-2025)
Densità,"31,05 ab./km²"
Comuni confinanti,"Briona, Casaleggio Novara, Mandello Vitta, Sillavengo"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003042
Cod. catastale,C149
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 541 GG[4]"
Nome abitanti,castellazzesi
Patrono,san Fermo
Giorno festivo,9 agosto
Cartografia,Cartografia
Castellazzo Novarese,Castellazzo Novarese
Castellazzo Novarese – MappaPosizione di Castellazzo Novarese nel territorio della provincia di Novara,Castellazzo Novarese – MappaPosizione di Castellazzo Novarese nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
