Bellinzago Novarese comune,Bellinzago Novarese comune.1
,
Bellinzago Novarese – VedutaChiesa parrocchiale,Bellinzago Novarese – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Fabio Sponghini (lista civica ViviAmo Bellinzago Insieme per la gente) dal 27-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°33′02.65″N 8°38′59.18″E
Altitudine,192 m s.l.m.
Superficie,"39,18 km²"
Abitanti,9 354[2] (30-11-2025)
Densità,"238,74 ab./km²"
Frazioni,"Badia di Dulzago, Cavagliano"
Comuni confinanti,"Caltignaga, Cameri, Lonate Pozzolo (VA), Momo, Nosate (MI), Oleggio"
Altre informazioni,Altre informazioni
Cod. postale,28043
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003016
Cod. catastale,A752
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 659 GG[4]"
Nome abitanti,"bellinzaghesi, branzagotti"
Patrono,san Clemente
Giorno festivo,23 novembre
Cartografia,Cartografia
Bellinzago Novarese,Bellinzago Novarese
Bellinzago Novarese – MappaPosizione di Bellinzago Novarese nel territorio della provincia di Novara,Bellinzago Novarese – MappaPosizione di Bellinzago Novarese nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
