Oleggio Castello comune,Oleggio Castello comune.1
,
Oleggio Castello – VedutaChiesa parrocchiale di San Martino Vescovo,Oleggio Castello – VedutaChiesa parrocchiale di San Martino Vescovo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Marco Cairo (lista civica Progetto Comune) dal 26-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°44′59″N 8°31′42″E
Altitudine,293 m s.l.m.
Superficie,"5,94 km²"
Abitanti,2 226[2] (30-11-2025)
Densità,"374,75 ab./km²"
Frazioni,"Ceserio, La Valle"
Comuni confinanti,"Arona, Comignago, Gattico-Veruno, Paruzzaro"
Altre informazioni,Altre informazioni
Cod. postale,28040
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003109
Cod. catastale,G020
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 685 GG[4]"
Nome abitanti,"oleggesi, oleggiaschi"
Patrono,san Martino
Cartografia,Cartografia
Oleggio Castello,Oleggio Castello
Oleggio Castello – MappaPosizione di Oleggio Castello nel territorio della provincia di Novara,Oleggio Castello – MappaPosizione di Oleggio Castello nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
