Cressa comune,Cressa comune.1
,
Cressa – VedutaVeduta,Cressa – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Ilaria Zola (lista civica Insieme per Cressa 2.0) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°39′N 8°31′E
Altitudine,267 m s.l.m.
Superficie,"7,1 km²"
Abitanti,1 558[2] (30-11-2025)
Densità,"219,44 ab./km²"
Comuni confinanti,"Bogogno, Borgomanero, Fontaneto d'Agogna, Suno"
Altre informazioni,Altre informazioni
Cod. postale,28012
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003055
Cod. catastale,D162
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 507 GG[4]"
Nome abitanti,cressesi
Patrono,san Prospero
Giorno festivo,ultima domenica di luglio
Cartografia,Cartografia
Cressa,Cressa
Cressa – MappaPosizione di Cressa nel territorio della provincia di Novara,Cressa – MappaPosizione di Cressa nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
