Orta San Giulio comune,Orta San Giulio comune.1
,
Orta San Giulio – VedutaVeduta di Orta e dell'isola di San Giulio,Orta San Giulio – VedutaVeduta di Orta e dell'isola di San Giulio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Giorgio Angeleri (lista civica Orta un bene di tutti) dal 26-03-2025[1]
Territorio,Territorio
Coordinate,45°48′N 8°24′E
Altitudine,294 m s.l.m.
Superficie,"6,65 km²"
Abitanti,1 087[2] (30-11-2025)
Densità,"163,46 ab./km²"
Frazioni,"Legro, Corconio, Imolo[3]"
Comuni confinanti,"Ameno, Bolzano Novarese, Gozzano, Miasino, Pettenasco, San Maurizio d'Opaglio"
Altre informazioni,Altre informazioni
Cod. postale,28016
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003112
Cod. catastale,G134
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[4]
Cl. climatica,"zona E, 2 687 GG[5]"
Nome abitanti,ortesi
Patrono,"santa Maria Assunta, san Giulio di Orta"
Giorno festivo,"15 agosto, 31 gennaio"
Cartografia,Cartografia
Orta San Giulio,Orta San Giulio
Orta San Giulio – MappaPosizione di Orta San Giulio nel territorio della provincia di Novara,Orta San Giulio – MappaPosizione di Orta San Giulio nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
