San Maurizio d'Opaglio comune,San Maurizio d'Opaglio comune.1
,
San Maurizio d'Opaglio – Veduta,San Maurizio d'Opaglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Maurizio Ronchi (lista civica Valida alternativa) dal 10-6-2024[1]
Territorio,Territorio
Coordinate,45°46′40.8″N 8°23′16.75″E
Altitudine,370 m s.l.m.
Superficie,"8,51 km²"
Abitanti,2 924[2] (30-11-2025)
Densità,"343,6 ab./km²"
Frazioni,"Alpiolo, Briallo, Lagna, Niverate, Opagliolo, Pianelli, Raveglia, Sazza"
Comuni confinanti,"Gozzano, Madonna del Sasso (VB), Orta San Giulio, Pella, Pogno"
Altre informazioni,Altre informazioni
Cod. postale,28017
Prefisso,0322
Fuso orario,UTC+1
Codice ISTAT,003133
Cod. catastale,I025
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 789 GG[4]"
Nome abitanti,sammauriziesi
Patrono,san Maurizio martire
Giorno festivo,terza domenica di settembre
Cartografia,Cartografia
San Maurizio d'Opaglio,San Maurizio d'Opaglio
San Maurizio d'Opaglio – MappaPosizione di San Maurizio d'Opaglio nel territorio della provincia di Novara,San Maurizio d'Opaglio – MappaPosizione di San Maurizio d'Opaglio nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
