Briona comune,Briona comune.1
,
Briona – VedutaVeduta di Briona con il castello e il Monte Rosa,Briona – VedutaVeduta di Briona con il castello e il Monte Rosa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Davide Maria Giordano (lista civica SiAmo Briona) dal 27-5-2019 (2º mandato dal 10-6-2024[1])
Territorio,Territorio
Coordinate,45°33′07″N 8°27′31″E
Altitudine,205 m s.l.m.
Superficie,"24,76 km²"
Abitanti,1 128[2] (30-11-2025)
Densità,"45,56 ab./km²"
Frazioni,"Proh, San Bernardino"
Comuni confinanti,"Barengo, Caltignaga, Carpignano Sesia, Casaleggio Novara, Castellazzo Novarese, Fara Novarese, Momo, San Pietro Mosezzo, Sillavengo"
Altre informazioni,Altre informazioni
Cod. postale,28072
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003027
Cod. catastale,B183
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona E, 2 571 GG[4]"
Nome abitanti,brionesi
Patrono,sant'Alessandro
Giorno festivo,26 agosto
Cartografia,Cartografia
Briona,Briona
Briona – MappaPosizione di Briona nel territorio della provincia di Novara,Briona – MappaPosizione di Briona nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
