San Pietro Mosezzo comune,San Pietro Mosezzo comune.1
,
San Pietro Mosezzo – VedutaIl Municipio,San Pietro Mosezzo – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Novara
Amministrazione,Amministrazione
Sindaco,Giuseppe Brognoli dal 5-10-2021
Territorio,Territorio
Coordinate,45°27′N 8°33′E
Altitudine,155 m s.l.m.
Superficie,"34,9 km²"
Abitanti,1 963[1] (30-11-2025)
Densità,"56,25 ab./km²"
Frazioni,"Cesto, Nibbia, San Pietro, Mosezzo"
Comuni confinanti,"Biandrate, Briona, Caltignaga, Casaleggio Novara, Casalino, Novara, Vicolungo"
Altre informazioni,Altre informazioni
Cod. postale,28060
Prefisso,0321
Fuso orario,UTC+1
Codice ISTAT,003135
Cod. catastale,I116
Targa,NO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 458 GG[3]"
Nome abitanti,sanpietrini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
San Pietro Mosezzo,San Pietro Mosezzo
San Pietro Mosezzo – MappaPosizione di San Pietro Mosezzo nel territorio della provincia di Novara,San Pietro Mosezzo – MappaPosizione di San Pietro Mosezzo nel territorio della provincia di Novara
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
