Cimbergo comune,Cimbergo comune.1
,
Cimbergo – Veduta,Cimbergo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Donatella Martinazzoli (lista civica “Indipendenti Cimbergo”) dal 10-6-2024
Territorio,Territorio
Coordinate,46°01′30″N 10°22′00″E
Altitudine,850 m s.l.m.
Superficie,"24,71 km²"
Abitanti,528[1] (30-11-2025)
Densità,"21,37 ab./km²"
Comuni confinanti,"Capo di Ponte, Cedegolo, Ceto, Cevo, Paspardo"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017054
Cod. catastale,C691
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 425 GG[3]"
Nome abitanti,Cimberghesi
Patrono,santa Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Cimbergo,Cimbergo
Cimbergo – MappaPosizione del comune di Cimbergo nella provincia di Brescia,Cimbergo – MappaPosizione del comune di Cimbergo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
