Saviore dell'Adamello comune,Saviore dell'Adamello comune.1
,
Saviore dell'Adamello – Veduta,Saviore dell'Adamello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Serena Morgani (centro-sinistra) dal 27-5-2019
Data di istituzione,1954
Territorio,Territorio
Coordinate,46°04′53″N 10°24′02″E
Altitudine,1 100 m s.l.m.
Superficie,"84,27 km²"
Abitanti,786[1] (30-11-2025)
Densità,"9,33 ab./km²"
Frazioni,"Ponte, Valle"
Comuni confinanti,"Cevo, Edolo, Ponte di Legno, Sonico, Spiazzo (TN), Valdaone (TN)"
Altre informazioni,Altre informazioni
Cod. postale,25040
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017175
Cod. catastale,I476
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 940 GG[3]"
Nome abitanti,savioresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Saviore dell'Adamello,Saviore dell'Adamello
Saviore dell'Adamello – MappaPosizione del comune di Saviore dell'Adamello nella provincia di Brescia,Saviore dell'Adamello – MappaPosizione del comune di Saviore dell'Adamello nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
