Paspardo comune,Paspardo comune.1
,
Paspardo – Veduta,Paspardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fabio Depedro (lista civica) dal 7-5-2012
Territorio,Territorio
Coordinate,46°01′54″N 10°22′19″E
Altitudine,1 005 m s.l.m.
Superficie,"11,15 km²"
Abitanti,574[1] (30-11-2025)
Densità,"51,48 ab./km²"
Comuni confinanti,"Capo di Ponte, Cedegolo, Cimbergo"
Altre informazioni,Altre informazioni
Cod. postale,25050
Prefisso,0364
Fuso orario,UTC+1
Codice ISTAT,017135
Cod. catastale,G354
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 608 GG[3]"
Nome abitanti,paspardesi
Patrono,san Gaudenzio
Giorno festivo,16 agosto
Cartografia,Cartografia
Paspardo,Paspardo
Paspardo – MappaPosizione del comune di Paspardo nella provincia di Brescia,Paspardo – MappaPosizione del comune di Paspardo nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
