Casto comune,Casto comune.1
,
Casto – VedutaPanorama di Casto dal Monte Ladino,Casto – VedutaPanorama di Casto dal Monte Ladino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Fulvio Freddi (lista civica Il maglio) dal 10-6-2024
Territorio,Territorio
Coordinate,45°42′N 10°19′E
Altitudine,417 m s.l.m.
Superficie,"21,34 km²"
Abitanti,1 615[1] (30-11-2025)
Densità,"75,68 ab./km²"
Frazioni,"Alone, Auro, Briale, Comero, Famea, Malpaga"
Comuni confinanti,"Bione, Lodrino, Lumezzane, Marcheno, Mura, Pertica Alta, Vestone"
Altre informazioni,Altre informazioni
Cod. postale,25070
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017044
Cod. catastale,C330
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 804 GG[3]"
Nome abitanti,castesi
Patrono,Sant'Antonio Abate
Cartografia,Cartografia
Casto,Casto
Casto – MappaPosizione del comune di Casto nella provincia di Brescia,Casto – MappaPosizione del comune di Casto nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
