Capriano del Colle comune,Capriano del Colle comune.1
,
Capriano del Colle – VedutaScorcio con la cinquecentesca Torre Avogadro,Capriano del Colle – VedutaScorcio con la cinquecentesca Torre Avogadro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Stefano Sala (Lega) dal 22-9-2020
Territorio,Territorio
Coordinate,45°27′18″N 10°07′43″E
Altitudine,92 m s.l.m.
Superficie,"13,97 km²"
Abitanti,4 905[1] (30-11-2025)
Densità,"351,11 ab./km²"
Frazioni,Fenili Belasi
Comuni confinanti,"Azzano Mella, Bagnolo Mella, Castel Mella, Dello, Flero, Poncarale"
Altre informazioni,Altre informazioni
Cod. postale,25020
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017037
Cod. catastale,B698
Targa,BS
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 410 GG[3]"
Nome abitanti,caprianesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Capriano del Colle,Capriano del Colle
Capriano del Colle – MappaPosizione del comune di Capriano del Colle nella provincia di Brescia,Capriano del Colle – MappaPosizione del comune di Capriano del Colle nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
