Nave comune,Nave comune.1
,
Nave – VedutaVeduta di Nave,Nave – VedutaVeduta di Nave
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Matteo Franzoni (centro-sinistra) dal 4-10-2021
Territorio,Territorio
Coordinate,45°35′06″N 10°17′00″E
Altitudine,236 m s.l.m.
Superficie,"27,21 km²"
Abitanti,10 629[1] (30-11-2025)
Densità,"390,63 ab./km²"
Frazioni,"Campanile, Cortine, Dernago, Mitria, Monteclana, Muratello, Piazza, Prada, Sacca, San Cesario, San Rocco, Borano"
Comuni confinanti,"Botticino, Bovezzo, Brescia, Caino, Concesio, Lumezzane, Serle"
Altre informazioni,Altre informazioni
Cod. postale,25075
Prefisso,030
Fuso orario,UTC+1
Codice ISTAT,017117
Cod. catastale,F851
Targa,BS
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 547 GG[3]"
Nome abitanti,navensi
Patrono,san Costanzo
Giorno festivo,12 febbraio
Cartografia,Cartografia
Nave,Nave
Nave – MappaPosizione del comune di Nave nella provincia di Brescia,Nave – MappaPosizione del comune di Nave nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
