Manerba del Garda comune,Manerba del Garda comune.1
,
Manerba del Garda – VedutaPanorama,Manerba del Garda – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Brescia
Amministrazione,Amministrazione
Sindaco,Flaviano Mattiotti (centrodestra) dal 27-5-2019
Territorio,Territorio
Coordinate,45°32′59″N 10°33′05″E
Altitudine,130 m s.l.m.
Superficie,"36,63 km²"
Abitanti,5 406[1] (30-11-2025)
Densità,"147,58 ab./km²"
Frazioni,"Balbiana, Gardoncino, Montinelle, Pieve Vecchia, Campagnola, Trevisago, Solarolo (sede comunale)[2]"
Comuni confinanti,"Bardolino (VR), Garda (VR), Moniga del Garda, Polpenazze del Garda, Puegnago del Garda, San Felice del Benaco, Soiano del Lago"
Altre informazioni,Altre informazioni
Cod. postale,25080
Prefisso,0365
Fuso orario,UTC+1
Codice ISTAT,017102
Cod. catastale,E883
Targa,BS
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 355 GG[4]"
Nome abitanti,manerbesi
Patrono,Maria SS.ma Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Manerba del Garda,Manerba del Garda
Manerba del Garda – MappaPosizione del comune di Manerba del Garda nella provincia di Brescia,Manerba del Garda – MappaPosizione del comune di Manerba del Garda nella provincia di Brescia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
